Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,Peterson,Adrian,Adrian Peterson,1,450,73,RB,MIN,1
2,Martin,Doug,Doug Martin,1,476,73,RB,TBB,2
3,Foster,Arian,Arian Foster,1,488,74,RB,HOU,3
4,Johnson,Calvin,Calvin Johnson,1,393,74,WR,DET,1
5,Charles,Jamaal,Jamaal Charles,1,470,76,RB,KCC,4
6,Rice,Ray,Ray Rice,1,391,74,RB,BAL,5
7,McCoy,LeSean,LeSean McCoy,1,441,76,RB,PHI,6
8,Richardson,Trent,Trent Richardson,1,420,75,RB,IND,7
9,Lynch,Marshawn,Marshawn Lynch,1,448,75,RB,SEA,8
10,Spiller,C.J.,C.J. Spiller,1,449,74,RB,BUF,9
11,Forte,Matt,Matt Forte,1,474,76,RB,CHI,10
12,Rodgers,Aaron,Aaron Rodgers,1,487,73,QB,GBP,1
13,Bryant,Dez,Dez Bryant,1,426,75,WR,DAL,2
14,Green,A.J.,A.J. Green,1,408,76,WR,CIN,3
15,Brees,Drew,Drew Brees,1,495,73,QB,NOS,2
16,Marshall,Brandon,Brandon Marshall,1,395,75,WR,CHI,4
17,Jones,Julio,Julio Jones,1,471,75,WR,ATL,5
18,Johnson,Chris,Chris Johnson,1,433,77,RB,TEN,11
19,Graham,Jimmy,Jimmy Graham,1,356,77,TE,NOS,1
20,Jackson,Steven,Steven Jackson,1,453,78,RB,ATL,12
21,Morris,Alfred,Alfred Morris,1,451,75,RB,WAS,13
22,Thomas,Demaryius,Demaryius Thomas,1,459,77,WR,DEN,6
23,Jones-Drew,Maurice,Maurice Jones-Drew,1,439,78,RB,JAC,14
24,Bush,Reggie,Reggie Bush,1,445,79,RB,DET,15
25,Fitzgerald,Larry,Larry Fitzgerald,1,366,77,WR,ARI,7
26,Manning,Peyton,Peyton Manning,1,502,74,QB,DEN,3
27,Johnson,Andre,Andre Johnson,1,405,77,WR,HOU,8
28,Ridley,Stevan,Stevan Ridley,1,424,79,RB,NEP,16
29,White,Roddy,Roddy White,1,454,77,WR,ATL,9
30,Cobb,Randall,Randall Cobb,1,402,78,WR,GBP,10
31,Gore,Frank,Frank Gore,1,465,80,RB,SFO,17
32,Cruz,Victor,Victor Cruz,1,413,77,WR,NYG,11
33,Wilson,David,David Wilson,1,591,79,RB,NYG,18
34,Brady,Tom,Tom Brady,1,497,74,QB,NEP,4
35,Murray,DeMarco,DeMarco Murray,1,430,78,RB,DAL,19
36,Sproles,Darren,Darren Sproles,1,393,81,RB,NOS,20
37,Jackson,Vincent,Vincent Jackson,1,373,79,WR,TBB,12
38,Welker,Wes,Wes Welker,1,401,80,WR,DEN,13
39,Lacy,Eddie,Eddie Lacy,1,647,98,RB,GBP,21
40,Newton,Cam,Cam Newton,1,486,75,QB,CAR,5
41,McFadden,Darren,Darren McFadden,1,429,79,RB,OAK,22
42,Ryan,Matt,Matt Ryan,1,472,75,QB,ATL,6
43,Colston,Marques,Marques Colston,1,478,81,WR,NOS,14
44,Bowe,Dwayne,Dwayne Bowe,1,422,81,WR,KCC,15
45,Gronkowski,Rob,Rob Gronkowski,1,349,78,TE,NEP,2
46,Miller,Lamar,Lamar Miller,1,582,83,RB,MIA,23
47,Wayne,Reggie,Reggie Wayne,1,380,80,WR,IND,16
