Rank,Player,,Player_Name,Min Pick,Max Pick,% Selected,Position,Team,PositionRank
1,Barkley,Saquon,Saquon Barkley,1,369,56,RB,NYG,1
2,McCaffrey,Christian,Christian McCaffrey,1,205,57,RB,CAR,2
3,Kamara,Alvin,Alvin Kamara,1,249,54,RB,NOS,3
4,Elliott,Ezekiel,Ezekiel Elliott,1,201,57,RB,DAL,4
5,Hopkins,DeAndre,DeAndre Hopkins,1,210,58,WR,HOU,1
6,Adams,Davante,Davante Adams,1,207,57,WR,GBP,2
7,Johnson,David,David Johnson,1,221,59,RB,ARI,5
8,Bell,Le'Veon,Le'Veon Bell,1,194,59,RB,NYJ,6
9,Thomas,Michael,Michael Thomas,1,205,59,WR,NOS,3
10,Conner,James,James Conner,1,259,53,RB,PIT,7
11,Jones,Julio,Julio Jones,1,247,58,WR,ATL,4
12,Beckham,Odell,Odell Beckham,1,208,58,WR,CLE,5
13,Gurley,Todd,Todd Gurley,1,187,60,RB,LAR,8
14,Mahomes,Patrick,Patrick Mahomes,1,250,54,QB,KCC,1
15,Smith-Schuster,JuJu,JuJu Smith-Schuster,1,211,58,WR,PIT,6
16,Kelce,Travis,Travis Kelce,1,208,61,TE,KCC,1
17,Cook,Dalvin,Dalvin Cook,1,216,61,RB,MIN,9
18,Chubb,Nick,Nick Chubb,1,360,57,RB,CLE,10
19,Mixon,Joe,Joe Mixon,1,211,61,RB,CIN,11
20,Hill,Tyreek,Tyreek Hill,1,247,59,WR,KCC,7
21,Jacobs,Josh,Josh Jacobs,1,361,96,RB,OAK,12
22,Fournette,Leonard,Leonard Fournette,1,241,61,RB,JAC,13
23,Williams,Damien,Damien Williams,1,249,64,RB,KCC,14
24,Ertz,Zach,Zach Ertz,1,190,60,TE,PHI,2
25,Thielen,Adam,Adam Thielen,1,187,62,WR,MIN,8
26,Allen,Keenan,Keenan Allen,1,192,64,WR,LAC,9
27,Diggs,Stefon,Stefon Diggs,1,186,63,WR,MIN,10
28,Cooper,Amari,Amari Cooper,1,206,64,WR,DAL,11
29,Jones,Aaron,Aaron Jones,1,298,60,RB,GBP,15
30,Kittle,George,George Kittle,1,248,62,TE,SFO,3
31,Montgomery,David,David Montgomery,1,365,94,RB,CHI,16
32,Watson,Deshaun,Deshaun Watson,1,231,59,QB,HOU,2
33,Gordon,Melvin,Melvin Gordon,1,252,58,RB,LAC,17
34,Cooks,Brandin,Brandin Cooks,1,196,65,WR,LAR,12
35,Freeman,Devonta,Devonta Freeman,1,253,65,RB,ATL,18
36,Henry,Derrick,Derrick Henry,1,220,64,RB,TEN,19
37,Mack,Marlon,Marlon Mack,1,251,60,RB,IND,20
38,Hilton,T.Y.,T.Y. Hilton,1,200,63,WR,IND,13
39,Rodgers,Aaron,Aaron Rodgers,1,209,62,QB,GBP,3
40,Edelman,Julian,Julian Edelman,1,212,66,WR,NEP,14
41,Woods,Robert,Robert Woods,1,213,64,WR,LAR,15
42,Michel,Sony,Sony Michel,1,255,63,RB,NEP,21
43,Lockett,Tyler,Tyler Lockett,1,299,66,WR,SEA,16
44,Ingram,Mark,Mark Ingram,1,265,65,RB,BAL,22
46,Golladay,Kenny,Kenny Golladay,1,330,64,WR,DET,17
47,Godwin,Chris,Chris Godwin,1,231,65,WR,TBB,18
48,Mayfield,Baker,Baker Mayfield,1,353,59,QB,CLE,4
50,Lindsay,Phillip,Phillip Lindsay,1,223,63,RB,DEN,23
51,Ridley,Calvin,Calvin Ridley,1,367,62,WR,ATL,19
52,Kupp,Cooper,Cooper Kupp,2,227,65,WR,LAR,20
53,Ryan,Matt,Matt Ryan,1,215,63,QB,ATL,5
54,Sanders,Miles,Miles Sanders,1,365,94,RB,PHI,24
56,Howard,O.J.,O.J. Howard,1,438,65,TE,TBB,4
57,Boyd,Tyler,Tyler Boyd,2,237,65,WR,CIN,21
58,White,James,James White,1,357,62,RB,NEP,25
59,Williams,Mike,Mike Williams,1,256,65,WR,LAC,22
60,Moore,D.J.,D.J. Moore,1,279,65,WR,CAR,23
61,Landry,Jarvis,Jarvis Landry,1,217,67,WR,CLE,24
62,Henry,Hunter,Hunter Henry,2,339,66,TE,LAC,5
63,Wentz,Carson,Carson Wentz,1,196,64,QB,PHI,6
65,Green,A.J.,A.J. Green,2,275,66,WR,CIN,25
66,Cohen,Tarik,Tarik Cohen,1,277,62,RB,CHI,26
67,Wilson,Russell,Russell Wilson,1,225,65,QB,SEA,7
68,Butler,Hakeem,Hakeem Butler,1,672,32,WR,ARI,26
69,Robinson,Allen,Allen Robinson,1,261,67,WR,CHI,27
70,Coleman,Tevin,Tevin Coleman,1,420,67,RB,SFO,27
74,Brees,Drew,Drew Brees,1,254,66,QB,NOS,8
76,Murray,Kyler,Kyler Murray,1,368,91,QB,ARI,9
77,Brown,A.J.,A.J. Brown,1,501,44,WR,TEN,28
79,Haskins,Dwayne,Dwayne Haskins,1,615,42,QB,WAS,10
80,Anderson,Robby,Robby Anderson,1,337,67,WR,NYJ,29
81,Davis,Corey,Corey Davis,1,245,62,WR,TEN,30
82,Harry,N'Keal,N'Keal Harry,1,460,63,WR,NEP,31
83,Ekeler,Austin,Austin Ekeler,1,323,68,RB,LAC,28
84,Singletary,Devin,Devin Singletary,1,498,85,RB,BUF,29
85,Cook,Jared,Jared Cook,1,476,66,TE,NOS,6
88,Smith Jr.,Irv,Irv Smith Jr.,2,605,36,TE,MIN,7
91,Sternberger,Jace,Jace Sternberger,1,607,30,TE,GBP,8
92,Lock,Drew,Drew Lock,1,650,29,QB,DEN,11
94,Goff,Jared,Jared Goff,1,222,63,QB,LAR,12
95,Johnson,Diontae,Diontae Johnson,2,555,32,WR,PIT,32
96,Hockenson,T.J.,T.J. Hockenson,1,403,83,TE,DET,9
97,Isabella,Andy,Andy Isabella,2,672,41,WR,ARI,33
98,Newton,Cam,Cam Newton,1,373,64,QB,CAR,13
99,Drake,Kenyan,Kenyan Drake,2,385,65,RB,ARI,30
100,Arcega-Whiteside,JJ,JJ Arcega-Whiteside,1,570,44,WR,PHI,34
101,Howard,Jordan,Jordan Howard,3,440,64,RB,PHI,31
103,Shepard,Sterling,Sterling Shepard,3,305,65,WR,NYG,35
105,Fuller,Will,Will Fuller,1,371,67,WR,HOU,36
106,Bears,Chicago,Chicago Bears,1,471,51,Def,CHI,1
107,Harmon,Kelvin,Kelvin Harmon,5,648,24,WR,WAS,37
109,Metcalf,DK,DK Metcalf,1,367,81,WR,SEA,38
111,Johnson,Duke,Duke Johnson,1,409,67,RB,HOU,32
112,Watkins,Sammy,Sammy Watkins,1,264,67,WR,KCC,39
113,Fant,Noah,Noah Fant,1,508,58,TE,DEN,10
115,Brown,Marquise,Marquise Brown,1,488,55,WR,BAL,40
116,Jones,Daniel,Daniel Jones,1,522,41,QB,NYG,14
117,Samuel,Deebo,Deebo Samuel,1,460,56,WR,SFO,41
118,Ridley,Riley,Riley Ridley,1,613,25,WR,CHI,42
119,McDonald,Vance,Vance McDonald,1,391,64,TE,PIT,11
121,Hardman,Mecole,Mecole Hardman,1,457,59,WR,KCC,43
123,Westbrook,Dede,Dede Westbrook,4,385,65,WR,JAC,44
124,McLaurin,Terry,Terry McLaurin,4,583,34,WR,WAS,45
126,Winston,Jameis,Jameis Winston,2,358,62,QB,TBB,15
127,Pettis,Dante,Dante Pettis,1,410,65,WR,SFO,46
128,Sanders,Emmanuel,Emmanuel Sanders,1,534,68,WR,SFO,47
129,Harris,Damien,Damien Harris,3,717,59,RB,NEP,33
130,Njoku,David,David Njoku,1,461,62,TE,CLE,12
131,Jones,Marvin,Marvin Jones,1,375,64,WR,DET,48
132,Anderson,Rodney,Rodney Anderson,5,722,23,RB,CIN,34
133,Sutton,Courtland,Courtland Sutton,1,372,61,WR,DEN,49
134,Fitzgerald,Larry,Larry Fitzgerald,2,535,64,WR,ARI,50
136,Kirk,Christian,Christian Kirk,4,322,60,WR,ARI,51
137,Hill,Justice,Justice Hill,1,549,69,RB,BAL,35
138,Murray,Latavius,Latavius Murray,2,496,66,RB,NOS,36
139,Brady,Tom,Tom Brady,1,455,65,QB,NEP,16
140,Thompson,Darwin,Darwin Thompson,1,565,73,RB,KCC,37
142,Snell,Benny,Benny Snell,2,588,34,RB,PIT,38
145,Warring,Kahale,Kahale Warring,9,671,19,TE,HOU,13
147,Boykin,Miles,Miles Boykin,1,529,42,WR,BAL,52
151,McCoy,LeSean,LeSean McCoy,3,513,65,RB,KCC,39
152,Hunt,Kareem,Kareem Hunt,1,540,64,RB,CLE,40
153,Prescott,Dak,Dak Prescott,1,318,62,QB,DAL,17
154,Jackson,Lamar,Lamar Jackson,1,313,63,QB,BAL,18
156,Mattison,Alexander,Alexander Mattison,3,500,72,RB,MIN,41
157,Williams,Dexter,Dexter Williams,1,719,29,RB,GBP,42
158,Hooper,Austin,Austin Hooper,3,380,59,TE,ATL,14
159,Samuel,Curtis,Curtis Samuel,2,358,62,WR,CAR,53
162,Grier,Will,Will Grier,3,726,20,QB,CAR,19
165,Pollard,Tony,Tony Pollard,3,631,78,RB,DAL,43
169,Knox,Dawson,Dawson Knox,1,611,24,TE,BUF,15
170,Zuerlein,Greg,Greg Zuerlein,1,959,51,PK,LAR,1
171,Rivers,Philip,Philip Rivers,1,502,63,QB,LAC,20
172,Armstead,Ryquell,Ryquell Armstead,2,554,39,RB,JAC,44
174,Williams,Trayveon,Trayveon Williams,8,795,21,RB,CIN,45
175,Rams,Los Angeles,Los Angeles Rams,3,413,53,Def,LAR,2
177,Allison,Geronimo,Geronimo Allison,1,425,63,WR,GBP,54
178,Freeman,Royce,Royce Freeman,1,366,57,RB,DEN,46
180,Cousins,Kirk,Kirk Cousins,2,348,60,QB,MIN,21
184,Barber,Peyton,Peyton Barber,3,467,62,RB,TBB,47
185,Valdes-Scantling,Marquez,Marquez Valdes-Scantling,1,430,61,WR,GBP,55
186,Stidham,Jarrett,Jarrett Stidham,4,774,17,QB,NEP,22
187,Breida,Matt,Matt Breida,1,472,60,RB,SFO,48
188,Chargers,Los Angeles,Los Angeles Chargers,4,368,52,Def,LAC,3
189,Tucker,Justin,Justin Tucker,2,1104,53,PK,BAL,2
190,Rudolph,Kyle,Kyle Rudolph,2,449,57,TE,MIN,16
192,Williams,James,James Williams,6,829,10,RB,FA,49
193,Renfrow,Hunter,Hunter Renfrow,4,640,31,WR,OAK,56
194,Samuels,Jaylen,Jaylen Samuels,1,495,59,RB,PIT,50
195,Jaguars,Jacksonville,Jacksonville Jaguars,1,488,54,Def,JAC,4
197,Ravens,Baltimore,Baltimore Ravens,4,374,53,Def,BAL,5
198,Washington,James,James Washington,1,370,55,WR,PIT,57
199,Anderson,Bruce,Bruce Anderson,3,1161,18,RB,IND,51
201,Trubisky,Mitchell,Mitchell Trubisky,3,336,55,QB,CHI,23
202,Garoppolo,Jimmy,Jimmy Garoppolo,1,364,52,QB,SFO,24
203,Ozigbo,Devine,Devine Ozigbo,9,843,17,RB,JAC,52
