"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Jamaal Charles (FA)","259","1,287","5.0","46","6","12","70","104","693","9.9","7","2","15","382.1","25.5","0.1%"
"2","Matt Forte (FA)","289","1,339","4.6","55","9","9","74","94","594","8.0","3","2","16","342.3","21.4","19.1%"
"3","LeSean McCoy (TB)","314","1,607","5.1","57","9","9","52","64","539","10.4","2","1","16","332.6","20.8","1.3%"
"4","Knowshon Moreno (FA)","241","1,038","4.3","31","5","10","60","74","548","9.1","3","0","16","296.7","18.5","0.0%"
"5","Marshawn Lynch (FA)","301","1,257","4.2","43","6","12","36","44","316","8.8","2","1","16","277.3","17.3","0.2%"
"6","DeMarco Murray (FA)","217","1,121","5.2","43","8","9","53","66","350","6.6","1","1","14","258.2","18.4","0.1%"
"7","Reggie Bush (FA)","223","1,006","4.5","39","6","4","54","80","506","9.4","3","4","14","247.2","17.7","0.0%"
"8","Eddie Lacy (FA)","284","1,178","4.1","60","3","11","35","44","257","7.3","0","1","15","244.5","16.3","0.3%"
"9","Chris Johnson (FA)","279","1,077","3.9","30","5","6","42","52","345","8.2","4","2","16","244.2","15.3","0.6%"
"10","Adrian Peterson (DET)","279","1,266","4.5","78","8","10","29","40","171","5.9","1","3","14","238.7","17.1","42.6%"
"11","Fred Jackson (FA)","206","890","4.3","59","1","9","47","66","387","8.2","1","0","16","233.1","14.6","0.0%"
"12","Danny Woodhead (FA)","106","429","4.0","14","0","2","76","87","605","8.0","6","2","16","227.0","14.2","20.6%"
"13","Giovani Bernard (CIN)","170","695","4.1","35","3","5","56","70","514","9.2","3","1","16","224.9","14.1","69.3%"
"14","Joique Bell (FA)","166","650","3.9","20","1","8","53","69","547","10.3","0","3","16","222.7","13.9","0.2%"
"15","Le'Veon Bell (KC)","244","860","3.5","43","4","8","45","66","399","8.9","0","1","13","219.8","16.9","61.4%"
"16","Pierre Thomas (FA)","147","549","3.7","18","0","2","77","84","513","6.7","3","1","16","213.2","13.3","0.0%"
"17","Ryan Mathews (FA)","285","1,255","4.4","51","7","6","26","33","189","7.3","1","1","16","212.4","13.3","0.0%"
"18","Frank Gore (NYJ)","276","1,128","4.1","51","9","9","16","26","141","8.8","0","3","16","196.9","12.3","36.7%"
"19","Maurice Jones-Drew (FA)","234","803","3.4","48","5","5","43","60","314","7.3","0","1","15","187.0","12.5","0.0%"
"20","Zac Stacy (FA)","250","973","3.9","40","5","7","26","35","141","5.4","1","1","14","185.4","13.2","0.0%"
"21","Alfred Morris (NYG)","276","1,275","4.6","45","10","7","9","12","78","8.7","0","4","16","184.3","11.5","0.2%"
"22","Ray Rice (FA)","214","660","3.1","47","1","4","58","73","321","5.5","0","2","15","182.1","12.1","0.0%"
"23","Darren Sproles (FA)","53","220","4.2","38","1","2","71","89","604","8.5","2","2","15","177.4","11.8","0.0%"
"24","Rashad Jennings (FA)","163","733","4.5","80","4","6","36","47","292","8.1","0","0","15","174.5","11.6","0.0%"
"25","DeAngelo Williams (FA)","201","843","4.2","43","6","3","26","36","333","12.8","1","2","15","165.6","11.0","0.1%"
"26","Andre Ellington (FA)","118","652","5.5","80","8","3","39","57","371","9.5","1","0","15","165.3","11.0","0.1%"
"27","C.J. Spiller (FA)","202","933","4.6","77","9","2","33","40","185","5.6","0","1","15","158.4","10.6","0.1%"
"28","Donald Brown (FA)","102","537","5.3","51","4","6","27","35","214","7.9","2","0","16","150.1","9.4","0.0%"
"29","Ben Tate (FA)","181","771","4.3","60","3","4","34","49","140","4.1","0","2","14","149.1","10.7","0.0%"
"30","Steven Jackson (FA)","157","543","3.5","50","3","6","33","49","191","5.8","1","0","12","148.3","12.4","0.0%"
"31","Rashard Mendenhall (FA)","217","687","3.2","28","1","8","18","21","134","7.4","0","3","15","148.1","9.9","0.0%"
"32","Trent Richardson (FA)","188","563","3.0","22","1","3","35","52","316","9.0","1","1","16","146.9","9.2","0.0%"
"33","Jacquizz Rodgers (FA)","96","332","3.5","19","0","2","52","62","341","6.6","2","1","15","143.4","9.6","0.0%"
"34","Bilal Powell (FA)","176","697","4.0","39","3","1","36","57","272","7.6","0","0","16","140.1","8.8","0.0%"
"35","Stevan Ridley (FA)","178","773","4.3","29","3","7","10","12","62","6.2","0","4","14","135.5","9.7","0.0%"
"36","Shane Vereen (FA)","44","208","4.7","21","2","1","47","69","427","9.1","3","0","8","134.5","16.8","0.0%"
"37","Lamar Miller (CHI)","177","709","4.0","49","4","2","26","35","170","6.5","0","1","16","125.9","7.9","0.3%"
"38","LeGarrette Blount (FA)","153","772","5.0","47","5","7","2","5","38","19.0","0","2","16","125.0","7.8","0.0%"
"39","BenJarvus Green-Ellis (FA)","220","756","3.4","25","1","7","4","8","22","5.5","0","2","16","123.8","7.7","0.0%"
"40","Mike Tolbert (FA)","101","361","3.6","22","2","5","27","32","184","6.8","2","0","16","123.5","7.7","0.0%"
"41","Chris Ogbonnaya (FA)","49","240","4.9","43","2","0","48","75","343","7.1","2","2","16","118.2","7.4","0.0%"
"42","Dexter McCluster (FA)","8","5","0.6","5","0","0","53","83","511","9.6","2","0","15","116.7","7.8","0.0%"
"43","Montee Ball (FA)","120","559","4.7","45","3","4","20","27","145","7.3","0","3","16","114.5","7.2","0.0%"
"44","Bobby Rainey (FA)","150","566","3.8","80","3","5","15","19","46","3.1","1","1","15","112.2","7.5","0.0%"
"45","Marcel Reece (FA)","46","218","4.7","63","1","2","32","54","331","10.3","2","0","16","111.8","7.0","0.0%"
"46","Arian Foster (FA)","121","542","4.5","23","2","1","22","35","183","8.3","1","0","8","108.5","13.6","0.0%"
"47","Roy Helu (FA)","62","274","4.4","24","2","4","31","42","251","8.1","0","0","16","107.5","6.7","0.0%"
"48","Chris Ivory (FA)","182","833","4.6","69","8","3","2","7","10","5.0","0","0","15","104.3","7.0","0.0%"
"49","Darren McFadden (FA)","114","379","3.3","30","4","5","17","25","108","6.4","0","1","10","100.3","10.0","7.0%"
"50","Daniel Thomas (FA)","109","406","3.7","55","1","4","15","17","63","4.2","2","0","15","97.9","6.5","0.0%"
"51","Andre Brown (FA)","139","492","3.5","23","1","3","20","29","103","5.2","0","3","8","97.5","12.2","0.0%"
"52","James Starks (FA)","89","493","5.5","41","6","3","10","13","89","8.9","1","0","13","92.2","7.1","0.0%"
"53","Jason Snelling (FA)","44","164","3.7","17","0","1","29","34","216","7.4","3","0","14","91.0","6.5","0.0%"
"54","Bernard Pierce (FA)","152","436","2.9","28","2","2","20","25","104","5.2","0","0","16","86.0","5.4","0.0%"
"55","Brandon Bolden (NE)","55","271","4.9","46","2","3","21","29","152","7.2","0","0","12","81.3","6.8","0.0%"
"56","Doug Martin (FA)","127","456","3.6","28","2","1","12","24","66","5.5","0","1","6","70.2","11.7","0.0%"
"57","Jordan Todman (FA)","76","256","3.4","33","1","2","14","26","116","8.3","1","0","16","69.2","4.3","0.0%"
"58","Knile Davis (FA)","70","242","3.5","20","1","4","11","15","75","6.8","0","1","16","66.7","4.2","0.0%"
