"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Antonio Brown (TB)","129","181","1,698","13.2","63","19","13","4","13","0","2","16","380.9","23.8","70.1%"
"2","Demaryius Thomas (FA)","111","184","1,619","14.6","86","25","11","0","0","0","0","16","340.9","21.3","0.0%"
"3","Jordy Nelson (FA)","98","151","1,519","15.5","80","19","13","0","0","0","0","16","327.9","20.5","0.1%"
"4","Dez Bryant (BAL)","88","137","1,320","15.0","68","22","16","0","0","0","0","16","316.0","19.8","6.9%"
"5","Emmanuel Sanders (NO)","101","141","1,404","13.9","48","24","9","8","44","0","0","16","301.8","18.9","42.9%"
"6","Julio Jones (ATL)","104","163","1,593","15.3","79","31","6","1","1","0","1","15","297.4","19.8","99.5%"
"7","Odell Beckham Jr. (CLE)","91","130","1,305","14.3","80","16","12","7","35","0","1","12","295.0","24.6","25.6%"
"8","Randall Cobb (HOU)","91","127","1,287","14.1","70","24","12","11","37","0","2","16","293.4","18.3","9.9%"
"9","Jeremy Maclin (FA)","85","143","1,318","15.5","72","21","10","0","0","0","0","16","276.8","17.3","0.0%"
"10","Alshon Jeffery (PHI)","85","145","1,133","13.3","74","17","10","6","33","0","0","16","261.6","16.4","5.5%"
"11","Golden Tate (NYG)","99","144","1,331","13.4","73","17","4","5","30","0","0","16","259.1","16.2","18.4%"
"12","T.Y. Hilton (IND)","82","131","1,345","16.4","73","21","7","2","20","0","1","15","258.5","17.2","46.5%"
"13","Mike Evans (TB)","68","123","1,051","15.5","56","20","12","0","0","0","0","15","245.1","16.3","98.5%"
"14","DeAndre Hopkins (ARI)","76","127","1,210","15.9","76","20","6","0","0","0","1","16","231.0","14.4","100.0%"
"15","Calvin Johnson (FA)","71","128","1,077","15.2","67","16","8","0","0","0","0","13","226.7","17.4","0.1%"
"16","Kelvin Benjamin (FA)","73","145","1,008","13.8","51","14","9","0","0","0","1","16","225.8","14.1","0.0%"
"17","Julian Edelman (NE)","92","134","972","10.6","69","7","4","10","94","0","0","14","222.6","15.9","28.5%"
"18","Anquan Boldin (FA)","83","131","1,062","12.8","76","14","5","1","4","0","0","16","219.6","13.7","0.1%"
"19","Steve Smith (FA)","79","134","1,065","13.5","80","15","6","0","0","0","1","16","219.5","13.7","0.0%"
"20","Mike Wallace (FA)","67","115","862","12.9","50","10","10","4","16","0","1","16","212.8","13.3","0.0%"
"21","Roddy White (FA)","80","125","921","11.5","39","14","7","0","0","0","1","14","212.1","15.2","0.0%"
"22","Brandon LaFell (FA)","74","119","953","12.9","56","10","7","2","13","0","1","16","210.6","13.2","0.0%"
"23","DeSean Jackson (PHI)","56","95","1,169","20.9","81","16","6","4","7","0","0","15","209.6","14.0","10.2%"
"24","A.J. Green (CIN)","69","116","1,041","15.1","81","13","6","2","2","0","2","13","205.3","15.8","46.0%"
"25","Jordan Matthews (SF)","67","103","872","13.0","44","16","8","0","0","0","0","16","202.2","12.6","0.0%"
"26","Eric Decker (FA)","74","115","962","13.0","74","12","5","0","0","0","0","15","200.2","13.3","0.6%"
"27","Sammy Watkins (KC)","65","128","982","15.1","84","14","6","2","8","0","1","16","198.0","12.4","46.6%"
"28","Torrey Smith (FA)","49","92","767","15.7","53","13","11","0","0","0","0","16","191.7","12.0","0.0%"
"29","Andre Johnson (FA)","85","147","936","11.0","35","14","3","0","0","0","3","15","190.6","12.7","0.0%"
"30","Rueben Randle (FA)","71","127","938","13.2","49","12","3","0","0","0","0","16","182.8","11.4","0.0%"
"31","Jarvis Landry (CLE)","84","112","758","9.0","25","6","5","2","-4","0","4","16","181.4","11.3","85.9%"
"32","Eddie Royal (FA)","62","91","778","12.5","47","14","7","3","14","0","1","16","181.2","11.3","0.0%"
"33","Vincent Jackson (FA)","70","142","1,002","14.3","50","12","2","0","0","0","1","16","180.2","11.3","0.0%"
"34","Mohamed Sanu (DET)","56","98","790","14.1","76","9","5","7","51","0","0","16","179.2","11.2","0.9%"
