"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Stephen Gostkowski (TEN)","33","36","91.7","57","0","6","11","12","4","52","52","16","171.0","10.7","29.6%"
"2","Graham Gano (NYG)","30","36","83.3","52","1","10","4","13","2","56","58","16","163.0","10.2","9.0%"
"3","Blair Walsh (FA)","34","39","87.2","54","0","9","13","6","6","33","37","16","153.0","9.6","0.1%"
"4","Robbie Gould (SF)","33","39","84.6","55","1","8","10","7","7","28","28","16","148.0","9.3","34.8%"
"5","Josh Brown (FA)","30","32","93.8","53","1","6","12","8","3","44","45","16","148.0","9.3","0.0%"
"6","Stephen Hauschka (FA)","29","31","93.5","54","0","9","7","7","6","40","42","16","146.0","9.1","0.2%"
"7","Cairo Santos (CHI)","30","37","81.1","53","0","7","10","9","4","39","41","16","146.0","9.1","1.0%"
"8","Justin Tucker (BAL)","33","40","82.5","52","0","10","9","10","4","29","29","16","146.0","9.1","95.8%"
"9","Chandler Catanzaro (FA)","28","31","90.3","47","1","12","9","6","0","53","58","16","143.0","8.9","0.0%"
"10","Brandon McManus (DEN)","30","35","85.7","57","0","12","8","5","5","35","36","16","140.0","8.8","27.0%"
"11","Dan Bailey (MIN)","30","32","93.8","54","0","9","10","6","5","25","25","16","131.0","8.2","24.3%"
"12","Mike Nugent (ARI)","23","28","82.1","52","0","6","5","10","2","48","48","16","131.0","8.2","1.0%"
"13","Chris Boswell (PIT)","29","32","90.6","51","1","9","8","9","2","26","27","12","126.0","10.5","29.8%"
"14","Josh Lambo (JAC)","26","32","81.3","54","0","4","7","11","4","28","31","16","125.0","7.8","0.8%"
"15","Dustin Hopkins (WAS)","25","28","89.3","54","0","7","9","7","2","39","40","15","125.0","8.3","1.0%"
"16","Mason Crosby (GB)","24","28","85.7","56","1","7","4","8","4","36","36","16","124.0","7.8","40.6%"
"17","Adam Vinatieri (FA)","25","27","92.6","55","0","7","6","8","4","32","34","16","123.0","7.7","0.1%"
"18","Jason Myers (SEA)","26","30","86.7","58","0","9","8","6","3","32","39","16","122.0","7.6","62.5%"
"19","Matt Prater (DET)","22","24","91.7","59","0","3","8","6","5","36","38","16","118.0","7.4","63.0%"
