"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Rob Gronkowski (TB)","72","120","1,176","16.3","76","22","11","0","0","0","0","15","219.6","14.6","90.4%"
"2","Jordan Reed (SF)","87","114","952","10.9","32","14","11","0","0","0","2","14","200.7","14.3","20.8%"
"3","Gary Barnidge (FA)","79","125","1,043","13.2","40","16","9","0","0","0","0","16","197.8","12.4","0.1%"
"4","Delanie Walker (FA)","94","133","1,088","11.6","61","13","6","1","36","0","0","15","197.4","13.2","0.1%"
"5","Greg Olsen (SEA)","77","124","1,104","14.3","52","20","7","0","0","0","1","16","188.9","11.8","7.1%"
"6","Tyler Eifert (JAC)","52","74","615","11.8","31","8","13","0","0","0","0","13","165.5","12.7","4.5%"
"7","Travis Kelce (KC)","72","103","875","12.2","42","10","5","0","0","0","2","16","153.5","9.6","100.0%"
"8","Benjamin Watson (FA)","74","110","825","11.1","46","13","6","0","0","0","1","16","153.5","9.6","2.8%"
"9","Zach Ertz (PHI)","75","112","853","11.4","60","11","2","0","0","0","1","15","132.8","8.9","62.0%"
"10","Richard Rodgers (PHI)","58","85","510","8.8","61","6","8","1","11","0","0","16","131.1","8.2","3.6%"
"11","Jason Witten (LV)","77","104","713","9.3","35","4","3","0","0","0","1","16","125.7","7.9","0.2%"
"12","Antonio Gates (FA)","56","85","630","11.3","40","5","5","0","0","0","0","11","121.0","11.0","0.2%"
"13","Eric Ebron (PIT)","47","70","537","11.4","55","5","5","0","0","0","0","14","107.2","7.7","83.3%"
"14","Kyle Rudolph (MIN)","49","73","495","10.1","47","4","5","0","0","0","0","16","104.0","6.5","28.5%"
"15","Jacob Tamme (FA)","59","81","657","11.1","41","7","1","0","0","0","0","15","101.2","6.7","0.0%"
"16","Julius Thomas (FA)","46","80","455","9.9","34","5","5","0","0","0","0","12","98.5","8.2","0.0%"
"17","Heath Miller (FA)","60","81","535","8.9","27","5","2","1","2","0","0","15","97.7","6.5","0.0%"
"18","Jimmy Graham (CHI)","48","74","605","12.6","45","11","2","0","0","0","0","11","96.5","8.8","39.2%"
"19","Charles Clay (FA)","51","77","528","10.4","40","9","3","0","0","0","0","13","96.3","7.4","0.0%"
"20","Coby Fleener (FA)","54","84","491","9.1","57","4","3","0","0","0","0","16","96.1","6.0","0.0%"
"21","Owen Daniels (FA)","46","77","517","11.2","37","6","3","0","0","0","0","16","92.7","5.8","0.0%"
"22","Zach Miller (FA)","34","46","439","12.9","87","7","5","0","0","0","0","15","90.9","6.1","0.0%"
"23","Ladarius Green (FA)","37","63","429","11.6","31","5","4","0","0","0","0","13","89.4","6.9","0.0%"
"24","Martellus Bennett (FA)","53","80","439","8.3","24","5","3","0","0","0","0","11","88.4","8.0","23.0%"
"25","Will Tye (FA)","42","62","464","11.0","45","5","3","0","0","0","1","13","83.4","6.4","0.0%"
"26","Crockett Gillmore (FA)","33","47","412","12.5","46","5","4","0","0","0","0","10","81.7","8.2","0.0%"
"27","Jordan Cameron (FA)","35","70","386","11.0","29","4","3","0","0","0","0","16","74.1","4.6","0.1%"
"28","Brent Celek (FA)","27","35","398","14.7","60","6","3","0","0","0","0","16","71.3","4.5","0.0%"
"29","Austin Seferian-Jenkins (FA)","21","39","338","16.1","43","7","4","0","0","0","0","7","68.3","9.8","0.0%"
"30","Jared Cook (NO)","39","75","481","12.3","49","7","0","0","0","0","1","16","67.6","4.2","59.1%"
"31","Vance McDonald (PIT)","30","46","326","10.9","36","5","3","0","0","0","0","14","65.6","4.7","0.2%"
"32","Clive Walford (FA)","28","50","329","11.8","33","5","3","0","0","0","0","16","64.9","4.1","0.0%"
"33","Scott Chandler (FA)","23","42","259","11.3","30","4","4","0","0","0","0","15","61.4","4.1","0.0%"
"34","Darren Fells (HOU)","21","28","311","14.8","48","4","3","0","0","0","0","14","59.6","4.3","2.0%"
"35","Vernon Davis (FA)","38","58","395","10.4","43","4","0","0","0","0","0","15","58.5","3.9","1.6%"
"36","Cameron Brate (TB)","23","30","288","12.5","46","5","3","0","0","0","0","14","58.3","4.2","1.1%"
"37","Anthony Fasano (FA)","26","42","289","11.1","33","3","2","0","0","0","0","16","53.9","3.4","0.1%"
"38","Mychal Rivera (FA)","32","46","280","8.8","29","2","1","0","0","0","0","16","50.0","3.1","0.2%"
"39","Lance Kendricks (FA)","25","40","245","9.8","37","3","2","0","0","0","0","15","49.0","3.3","0.0%"
"40","Larry Donnell (FA)","29","41","223","7.7","22","2","2","0","0","0","0","8","48.8","6.1","0.0%"
"41","Maxx Williams (ARI)","32","48","268","8.4","28","2","1","0","0","0","0","14","48.8","3.5","0.0%"
"42","Ryan Griffin (NYJ)","20","34","251","12.6","37","4","2","0","0","0","0","9","47.1","5.2","0.1%"
"43","Garrett Celek (FA)","19","28","186","9.8","33","2","3","0","0","0","0","11","46.1","4.2","0.0%"
"44","Jermaine Gresham (FA)","18","32","223","12.4","22","3","1","0","0","0","0","15","37.3","2.5","0.0%"
"45","Luke Willson (BAL)","17","26","213","12.5","24","3","1","0","0","0","0","14","35.8","2.6","0.2%"
"46","Ed Dickson (FA)","17","26","121","7.1","17","0","2","0","0","0","0","16","32.6","2.0","0.0%"
"47","Josh Hill (NO)","16","30","120","7.5","19","0","2","0","0","0","0","16","32.0","2.0","0.1%"
"48","Marcedes Lewis (GB)","16","37","226","14.1","45","4","0","0","0","0","0","16","30.6","1.9","0.1%"
