"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"1","Ka'imi Fairbairn (HOU)","37","42","88.1","54","1","9","11","12","4","39","41","16","170.0","10.6","16.1%"
"2","Justin Tucker (BAL)","35","39","89.7","56","0","12","9","9","5","36","37","16","160.0","10.0","95.6%"
"3","Jason Myers (SEA)","33","36","91.7","56","0","4","13","10","6","30","33","16","151.0","9.4","59.6%"
"4","Wil Lutz (NO)","28","30","93.3","54","1","5","9","11","2","52","53","16","151.0","9.4","93.9%"
"5","Harrison Butker (KC)","24","27","88.9","54","0","9","7","6","2","65","69","16","147.0","9.2","92.5%"
"6","Mason Crosby (GB)","30","37","81.1","53","0","4","10","11","5","34","36","16","145.0","9.1","40.4%"
"7","Aldrick Rosas (JAC)","32","33","97.0","57","0","9","13","6","4","31","32","16","141.0","8.8","0.1%"
"8","Robbie Gould (SF)","33","34","97.1","53","0","9","13","9","2","27","29","16","139.0","8.7","33.7%"
"9","Brett Maher (HOU)","29","36","80.6","62","0","10","6","7","6","32","33","16","138.0","8.6","0.0%"
"10","Stephen Gostkowski (TEN)","27","32","84.4","52","0","11","10","4","2","49","50","16","138.0","8.6","29.1%"
"11","Matt Prater (DET)","28","32","87.5","54","0","8","12","5","3","30","30","16","129.3","8.1","63.5%"
"12","Greg Zuerlein (DAL)","27","31","87.1","56","0","9","10","4","4","35","36","11","128.0","11.6","34.8%"
"13","Sebastian Janikowski (FA)","22","27","81.5","56","0","2","9","8","3","48","51","16","128.0","8.0","20.0%"
"14","Adam Vinatieri (FA)","23","27","85.2","54","0","8","6","5","4","44","47","16","126.0","7.9","0.1%"
"15","Jake Elliott (PHI)","26","31","83.9","56","0","7","10","7","2","33","35","16","122.0","7.6","14.8%"
"16","Cody Parkey (CLE)","23","30","76.7","50","0","6","7","9","1","42","45","16","122.0","7.6","0.9%"
"17","Dustin Hopkins (WAS)","26","29","89.7","56","0","5","7","10","4","25","26","16","121.0","7.6","0.8%"
"18","Ryan Succop (TB)","26","30","86.7","54","0","5","13","5","3","28","31","16","117.0","7.3","24.8%"
"19","Matt Bryant (FA)","20","21","95.2","57","0","4","5","7","4","33","35","13","108.0","8.3","2.0%"
"20","Randy Bullock (CIN)","19","23","82.6","51","0","4","7","6","2","39","41","16","106.0","6.6","15.0%"
"21","Stephen Hauschka (FA)","22","28","78.6","54","0","3","8","7","4","25","26","16","106.0","6.6","0.2%"
"22","Brandon McManus (DEN)","20","25","80.0","53","0","5","6","7","2","35","35","16","106.0","6.6","27.0%"
"23","Dan Bailey (MIN)","21","28","75.0","52","0","5","11","4","1","30","31","14","99.0","7.1","24.2%"
"24","Jason Sanders (MIA)","18","20","90.0","50","0","7","3","7","1","35","36","16","98.0","6.1","80.7%"
"25","Chris Boswell (PIT)","13","20","65.0","50","0","3","4","5","1","43","48","15","93.1","6.2","33.7%"
"26","Daniel Carlson (LV)","17","21","81.0","50","0","2","3","9","3","24","24","12","90.0","7.5","68.4%"
"27","Josh Lambo (JAC)","19","21","90.5","57","0","4","8","3","4","19","20","13","87.0","6.7","0.8%"
"28","Chandler Catanzaro (FA)","16","20","80.0","59","0","4","9","0","3","30","35","13","84.0","6.5","0.0%"
"29","Greg Joseph (TB)","17","20","85.0","51","0","4","7","5","1","25","29","14","83.0","5.9","0.0%"
"30","Graham Gano (NYG)","14","16","87.5","63","0","3","4","4","3","30","33","12","82.0","6.8","8.9%"
"31","Michael Badgley (LAC)","15","16","93.8","59","0","4","5","5","1","27","28","10","79.0","7.9","21.9%"
"32","Cairo Santos (CHI)","14","18","77.8","45","1","4","6","3","0","22","23","9","67.0","7.4","1.0%"
"33","Zane Gonzalez (ARI)","9","14","64.3","55","0","1","4","2","2","8","11","7","41.0","5.9","36.5%"
"34","Caleb Sturgis (FA)","9","13","69.2","49","0","4","2","3","0","9","15","6","39.0","6.5","0.0%"
"35","Matt McCrane (CLE)","8","12","66.7","47","0","3","2","3","0","9","9","5","36.0","7.2","0.0%"
"36","Phil Dawson (FA)","5","8","62.5","43","0","2","2","1","0","15","15","10","31.0","3.1","0.0%"
"37","Giorgio Tavecchio (TEN)","5","5","100.0","56","0","1","0","2","2","8","8","3","29.0","9.7","1.0%"
"38","Mike Nugent (ARI)","6","6","100.0","52","0","3","0","2","1","4","5","3","26.0","8.7","1.0%"
"39","Kai Forbath (LAR)","4","5","80.0","41","0","2","1","1","0","3","3","3","16.0","5.3","2.2%"
"40","Sam Ficken (NYJ)","1","3","33.3","34","0","0","1","0","0","10","10","2","13.0","6.5","0.1%"
"41","Taylor Bertolet (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"42","Jonathan Brown (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"44","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.4%"
"45","Michael Palardy (CAR)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","33.3%"
"46","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"47","Eddy Pineiro (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","JJ Molson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.3%"
"50","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.9%"
"51","Sam Sloman (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"52","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Justin Rohrwasser (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"55","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Cameron Nizialek (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Kaare Vedvik (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"58","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Matt Gay (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.1%"
"60","Chase McLaughlin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"61","Tristan Vizcaino (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"63","Matthew Wright (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
