"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","97","136","1,229","12.7","47","13","5","1","4","1","1","16","205.8","12.9","100.0%"
"2","George Kittle (SF)","85","107","1,053","12.4","61","16","5","5","22","0","0","14","180.0","12.9","72.8%"
"3","Darren Waller (LV)","90","117","1,145","12.7","75","14","3","2","5","0","1","16","176.0","11.0","99.4%"
"4","Mark Andrews (BAL)","64","98","852","13.3","51","16","10","0","0","0","1","15","175.2","11.7","96.5%"
"5","Zach Ertz (PHI)","88","135","916","10.4","30","12","6","0","0","0","1","15","171.6","11.4","62.4%"
"6","Austin Hooper (CLE)","75","97","787","10.5","35","8","6","0","0","0","0","13","154.2","11.9","65.8%"
"7","Jared Cook (NO)","43","65","705","16.4","61","15","9","0","0","0","0","14","146.0","10.4","60.2%"
"8","Tyler Higbee (LAR)","69","89","734","10.6","33","11","3","0","0","0","0","15","125.9","8.4","45.9%"
"9","Hunter Henry (LAC)","55","76","652","11.9","30","8","5","0","0","0","1","12","122.7","10.2","96.3%"
"10","Dallas Goedert (PHI)","58","87","607","10.5","28","8","5","0","0","0","2","15","115.7","7.7","83.5%"
"11","Mike Gesicki (MIA)","51","89","570","11.2","34","7","5","0","0","0","1","16","110.5","6.9","68.5%"
"12","Jason Witten (LV)","63","83","529","8.4","33","2","4","0","0","0","1","16","108.4","6.8","0.2%"
"13","Greg Olsen (SEA)","52","82","597","11.5","41","6","2","0","0","0","0","14","97.7","7.0","7.3%"
"14","Kyle Rudolph (MIN)","39","48","367","9.4","32","3","6","0","0","0","0","16","94.2","5.9","26.2%"
"15","Darren Fells (HOU)","34","48","341","10.0","24","2","7","0","0","0","0","16","93.1","5.8","2.0%"
"16","Noah Fant (DEN)","40","66","562","14.1","75","10","3","3","-12","0","1","16","91.0","5.7","74.4%"
"17","Jack Doyle (IND)","43","72","448","10.4","23","4","4","0","0","0","0","16","90.3","5.6","5.6%"
"18","Evan Engram (NYG)","44","68","467","10.6","75","4","3","3","7","0","0","8","87.4","10.9","87.6%"
"19","Jonnu Smith (TEN)","35","44","439","12.5","57","8","3","4","78","0","0","16","87.2","5.5","68.4%"
"20","Tyler Eifert (JAC)","43","63","436","10.1","27","4","3","0","0","0","0","16","85.1","5.3","4.5%"
"21","Jimmy Graham (CHI)","38","60","447","11.8","48","7","3","0","0","0","0","16","81.7","5.1","39.8%"
"22","Ryan Griffin (NYJ)","34","41","320","9.4","45","4","5","0","0","0","0","13","81.0","6.2","0.1%"
"23","Jacob Hollister (SEA)","41","59","349","8.5","22","3","3","0","0","0","0","11","73.4","6.7","0.7%"
"24","Cameron Brate (TB)","36","55","311","8.6","37","1","4","0","0","0","0","16","73.1","4.6","1.1%"
"25","Jordan Akins (HOU)","36","55","418","11.6","53","4","2","0","0","0","0","16","71.8","4.5","5.0%"
"26","Gerald Everett (LAR)","37","60","408","11.0","33","6","2","1","0","0","0","13","71.3","5.5","4.6%"
"27","Eric Ebron (PIT)","31","52","375","12.1","48","4","3","0","0","0","0","11","71.0","6.5","82.8%"
"28","Blake Jarwin (DAL)","31","41","365","11.8","42","8","3","0","0","0","0","16","70.0","4.4","6.7%"
"29","O.J. Howard (TB)","34","53","459","13.5","33","8","1","0","0","0","1","14","66.9","4.8","2.6%"
"30","Dawson Knox (BUF)","28","50","388","13.9","49","7","2","1","9","0","0","15","65.7","4.4","0.9%"
"31","T.J. Hockenson (DET)","32","59","367","11.5","39","6","2","0","0","0","0","12","64.7","5.4","95.2%"
"32","Vance McDonald (PIT)","38","55","273","7.2","22","2","3","1","2","0","0","14","64.5","4.6","0.2%"
"33","Will Dissly (SEA)","23","27","262","11.4","38","3","4","1","7","0","0","6","62.4","10.4","2.3%"
"34","Hayden Hurst (ATL)","30","39","349","11.6","61","4","2","0","0","0","0","16","61.9","3.9","74.9%"
"35","Irv Smith Jr. (MIN)","36","47","311","8.6","29","5","2","0","0","0","0","16","61.1","3.8","4.6%"
"36","Kaden Smith (NYG)","31","42","268","8.6","32","3","3","0","0","0","0","9","60.3","6.7","0.1%"
"37","Nick Boyle (BAL)","31","43","321","10.4","35","4","2","0","0","0","0","16","59.6","3.7","0.2%"
"38","Foster Moreau (LV)","21","25","174","8.3","23","1","5","0","0","0","0","13","57.9","4.5","0.0%"
"39","Josh Hill (NO)","25","35","226","9.0","29","4","3","0","0","0","0","16","53.1","3.3","0.1%"
"40","Ricky Seals-Jones (KC)","14","22","229","16.4","59","5","4","0","0","0","1","14","51.9","3.7","0.0%"
"41","C.J. Uzomah (CIN)","27","40","242","9.0","36","2","2","0","0","0","0","16","49.7","3.1","0.2%"
"42","Delanie Walker (FA)","21","31","215","10.2","29","1","2","0","0","0","0","7","44.0","6.3","0.1%"
"43","Jeremy Sprinkle (WAS)","26","40","241","9.3","23","2","1","0","0","0","0","16","43.1","2.7","0.1%"
"44","Demetrius Harris (CHI)","15","27","149","9.9","23","2","3","0","0","0","0","15","42.4","2.8","0.0%"
