Rank,Name,Team,Pos.,Rushes,TDs
1,Devonta Freeman,ATL,RB,49,10
2,Jonathan Stewart,CAR,RB,47,6
3,Adrian Peterson,MIN,RB,47,8
4,Chris Ivory,NYJ,RB,39,6
5,Doug Martin,TB,RB,39,6
6,Jeremy Hill,CIN,RB,39,9
7,Latavius Murray,OAK,RB,34,5
8,DeAngelo Williams,PIT,RB,34,6
9,Chris Johnson,ARI,RB,32,2
10,Frank Gore,IND,RB,32,5
11,LeGarrette Blount,NE,RB,31,5
12,Matt Forte,CHI,RB,30,4
13,Giovani Bernard,CIN,RB,30,2
14,Isaiah Crowell,CLE,RB,30,3
15,Mark Ingram,NO,RB,30,6
16,Todd Gurley,STL,RB,29,8
17,DeMarco Murray,PHI,RB,28,5
18,Cam Newton,CAR,QB,27,10
19,Ronnie Hillman,DEN,RB,27,4
20,Matt Jones,WAS,RB,26,2
21,Darren McFadden,DAL,RB,26,3
22,Alfred Morris,WAS,RB,25,1
23,T.J. Yeldon,JAC,RB,24,2
24,Charcandrick West,KC,RB,23,3
25,LeSean McCoy,BUF,RB,22,1
26,Tim Hightower,NO,RB,22,4
27,David Johnson,ARI,RB,22,7
28,C.J. Anderson,DEN,RB,21,4
29,Alfred Blue,HOU,RB,21,2
30,Eddie Lacy,GB,RB,20,3
31,Marshawn Lynch,SEA,RB,20,3
32,Rashad Jennings,NYG,RB,20,2
33,Danny Woodhead,SD,RB,20,3
34,Lamar Miller,MIA,RB,19,6
35,Antonio Andrews,TEN,RB,19,3
36,Justin Forsett,BAL,RB,18,2
37,Carlos Hyde,SF,RB,18,3
38,Javorius Allen,BAL,RB,18,1
39,Jeremy Langford,CHI,RB,17,6
40,Mike Tolbert,CAR,FB,17,1
41,Joique Bell,DET,RB,17,4
42,Ryan Mathews,PHI,RB,16,5
43,Charles Sims,TB,RB,15,0
44,Thomas Rawls,SEA,RB,15,3
45,Tevin Coleman,ATL,RB,14,1
46,Denard Robinson,JAC,RB,13,1
47,James Starks,GB,RB,13,2
48,LeVeon Bell,PIT,RB,13,2
49,Spencer Ware,KC,RB,12,6
50,Melvin Gordon,SD,RB,12,0
51,Jay Ajayi,MIA,RB,12,1
52,Dion Lewis,NE,RB,12,2
53,DeAngelo Williams,PIT,RB,11,4
54,Jerick McKinnon,MIN,RB,11,1
55,Ameer Abdullah,DET,RB,11,1
56,Tyrod Taylor,BUF,QB,11,2
57,Andre Williams,NYG,RB,11,1
58,Darren Sproles,PHI,RB,11,3
59,Terron Ward,ATL,RB,9,1
60,Arian Foster,HOU,RB,9,1
61,Cameron Artis-Payne,CAR,RB,8,1
62,KaDeem Carey,CHI,RB,8,2
63,Brandon Bolden,NE,RB,8,0
64,Ahmad Bradshaw,IND,RB,8,0
65,Joseph Randle,DAL,RB,8,3
66,Jamaal Charles,KC,RB,8,3
67,Donald Brown,SD,RB,7,1
68,Matt Asiata,MIN,RB,7,0
69,Bishop Sankey,TEN,RB,7,1
70,Shane Vereen,NYG,RB,7,0
71,Fozzy Whittaker,CAR,RB,7,1
72,Khiry Robinson,NO,RB,7,3
73,Bilal Powell,NYJ,RB,7,1
74,Bryce Brown,SEA,RB,7,1
75,Mike Davis,SF,RB,7,0
76,Josh Robinson,IND,RB,7,0
77,Chris Polk,HOU,RB,7,1
78,Toby Gerhart,JAC,RB,7,0
79,Karlos Williams,BUF,RB,6,2
80,Anthony Dixon,BUF,RB,6,1
81,Karlos Williams,BUF,RB,6,2
82,Jamize Olawale,OAK,RB,6,1
83,Andy Dalton,CIN,QB,6,2
84,Shaun Draughn,SF,RB,6,1
85,David Cobb,TEN,RB,5,1
86,Stepfan Taylor,ARI,RB,5,0
87,Tre Mason,STL,RB,5,1
88,C.J. Spiller,NO,RB,5,0
89,DuJuan Harris,SF,RB,5,0
90,Orleans Darkwa,NYG,RB,5,1
91,James White,NE,RB,5,2
92,Stevan Ridley,NYJ,RB,5,0
93,Theo Riddick,DET,RB,5,0
94,Mike Gillislee,BUF,RB,5,1
95,Blake Bortles,JAC,QB,5,2
96,Jonathan Grimes,HOU,RB,4,1
97,Jameis Winston,TB,QB,4,4
98,Tom Brady,NE,QB,4,3
99,Joe Flacco,BAL,QB,4,3
100,Ryan Fitzpatrick,NYJ,QB,4,1
101,Chris Thompson,WAS,RB,4,0
102,Terrance West,BAL,RB,4,0
103,Duke Johnson,CLE,RB,4,0
104,John Kuhn,GB,FB,4,2
105,Jay Cutler,CHI,QB,4,1
106,Kirk Cousins,WAS,QB,4,3
