Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Jimmy Graham,SEA,TE,17,29,58.62,10
2,Keenan Allen,LAC,WR,12,26,46.15,4
3,Antonio Brown,PIT,WR,13,25,52.00,7
4,Jarvis Landry,MIA,WR,18,24,75.00,11
5,Davante Adams,GB,WR,16,24,66.67,8
6,Cooper Kupp,LA,WR,13,23,56.52,5
7,Rob Gronkowski,NE,TE,11,23,47.83,7
8,Dez Bryant,DAL,WR,11,22,50.00,5
9,Larry Fitzgerald,ARI,WR,12,21,57.14,6
10,Travis Kelce,KC,TE,11,21,52.38,7
11,DeAndre Hopkins,HOU,WR,9,20,45.00,8
12,Adam Thielen,MIN,WR,6,20,30.00,3
13,Mike Evans,TB,WR,5,20,25.00,3
14,Nelson Agholor,PHI,WR,13,19,68.42,5
15,A.J. Green,CIN,WR,7,19,36.84,6
16,Alshon Jeffery,PHI,WR,8,18,44.44,7
17,Marvin Jones,DET,WR,6,18,33.33,4
18,Julio Jones,ATL,WR,5,18,27.78,1
19,Alvin Kamara,NO,RB,14,17,82.35,4
20,Zach Ertz,PHI,TE,11,17,64.71,8
21,LeVeon Bell,PIT,RB,10,17,58.82,1
22,Demaryius Thomas,DEN,WR,10,17,58.82,5
23,Kyle Rudolph,MIN,TE,14,16,87.50,7
24,JuJu Smith-Schuster,PIT,WR,10,16,62.50,5
25,Michael Thomas,NO,WR,9,16,56.25,6
26,George Kittle,SF,TE,9,16,56.25,2
27,Marquise Goodwin,SF,WR,4,16,25.00,1
28,Devin Funchess,CAR,WR,8,15,53.33,5
29,Michael Crabtree,OAK,WR,8,15,53.33,6
30,Josh Doctson,WAS,WR,5,15,33.33,4
31,Stefon Diggs,MIN,WR,12,14,85.71,7
32,Danny Amendola,NE,WR,11,14,78.57,2
33,Jordy Nelson,GB,WR,10,14,71.43,5
34,Jason Witten,DAL,TE,9,14,64.29,4
35,LeSean McCoy,BUF,RB,9,14,64.29,2
36,Benjamin Watson,BAL,TE,8,14,57.14,3
37,Chris Hogan,NE,WR,6,14,42.86,4
38,Cameron Brate,TB,TE,5,14,35.71,5
39,Hunter Henry,LAC,TE,4,14,28.57,3
40,Christian McCaffrey,CAR,RB,11,13,84.62,4
41,Mark Ingram,NO,RB,11,13,84.62,1
42,Brandin Cooks,NE,WR,8,13,61.54,4
43,Jaron Brown,ARI,WR,7,13,53.85,2
44,Delanie Walker,TEN,TE,4,13,30.77,2
45,James White,NE,RB,9,12,75.00,3
46,Eric Decker,TEN,WR,8,12,66.67,1
47,Albert Wilson,KC,WR,7,12,58.33,2
48,Tyler Kroft,CIN,TE,7,12,58.33,7
49,Jamison Crowder,WAS,WR,7,12,58.33,3
50,Nick Boyle,BAL,TE,6,12,50.00,0
51,Paul Richardson,SEA,WR,6,12,50.00,5
52,Charles Clay,BUF,TE,6,12,50.00,3
53,Jesse James,PIT,TE,5,12,41.67,4
54,Austin Seferian-Jenkins,NYJ,TE,5,12,41.67,6
55,Doug Baldwin,SEA,WR,5,12,41.67,3
56,Eric Ebron,DET,TE,4,12,33.33,2
57,Martavis Bryant,PIT,WR,4,12,33.33,2
58,Mike Wallace,BAL,WR,3,12,25.00,3
59,Carlos Hyde,SF,RB,9,11,81.82,0
60,Tarik Cohen,CHI,RB,8,11,72.73,2
61,Kenny Stills,MIA,WR,7,11,63.64,3
62,Todd Gurley,LA,RB,7,11,63.64,4
63,Sammy Watkins,LA,WR,7,11,63.64,7
64,Mohamed Sanu,ATL,WR,7,11,63.64,6
65,Brandon LaFell,CIN,WR,6,11,54.55,2
66,Julius Thomas,MIA,TE,6,11,54.55,3
67,Sterling Shepard,NYG,WR,5,11,45.45,1
68,Emmanuel Sanders,DEN,WR,5,11,45.45,2
69,Amari Cooper,OAK,WR,3,11,27.27,3
70,Antonio Gates,LAC,TE,3,11,27.27,3
71,Zay Jones,BUF,WR,3,11,27.27,2
72,Robby Anderson,NYJ,WR,3,11,27.27,1
73,Jared Cook,OAK,TE,2,11,18.18,2
74,T.Y. Hilton,IND,WR,2,11,18.18,0
75,Melvin Gordon,LAC,RB,8,10,80.00,4
76,Tyler Lockett,SEA,WR,8,10,80.00,1
77,Ryan Grant,WAS,WR,7,10,70.00,3
78,Evan Engram,NYG,TE,7,10,70.00,6
79,Theo Riddick,DET,RB,7,10,70.00,2
80,Kareem Hunt,KC,RB,6,10,60.00,2
81,Jermaine Gresham,ARI,TE,6,10,60.00,3
82,Robert Woods,LA,WR,6,10,60.00,3
83,Ameer Abdullah,DET,RB,5,10,50.00,1
84,DeVante Parker,MIA,WR,5,10,50.00,1
85,Marcedes Lewis,JAX,TE,5,10,50.00,4
86,Gerald Everett,LA,TE,5,10,50.00,2
87,Eli Rogers,PIT,WR,4,10,40.00,1
88,Bruce Ellington,HOU,WR,3,10,30.00,0
89,David Njoku,CLE,TE,2,10,20.00,1
90,Austin Hooper,ATL,TE,7,9,77.78,2
91,C.J. Anderson,DEN,RB,7,9,77.78,1
92,Marqise Lee,JAX,WR,6,9,66.67,4
93,Charcandrick West,KC,RB,6,9,66.67,2
94,Jermaine Kearse,NYJ,WR,5,9,55.56,2
95,Jack Doyle,IND,TE,5,9,55.56,3
96,Bennie Fowler,DEN,WR,4,9,44.44,2
97,Vernon Davis,WAS,TE,4,9,44.44,1
98,Josh Reynolds,LA,WR,3,9,33.33,1
99,Demetrius Harris,KC,TE,2,9,22.22,1
100,Danny Woodhead,BAL,RB,8,8,100.00,0
101,Dion Lewis,NE,RB,8,8,100.00,3
102,Golden Tate,DET,WR,7,8,87.50,3
103,Devonta Freeman,ATL,RB,5,8,62.50,1
104,Rishard Matthews,TEN,WR,4,8,50.00,2
105,Justin Hardy,ATL,WR,4,8,50.00,3
106,Roger Lewis,NYG,WR,4,8,50.00,1
107,Kendall Wright,CHI,WR,3,8,37.50,1
108,Chris Godwin,TB,WR,3,8,37.50,0
109,Darren Fells,DET,TE,3,8,37.50,3
110,Stephen Anderson,HOU,TE,1,8,12.50,1
111,Demarcus Robinson,KC,WR,1,8,12.50,0
112,Trey Burton,PHI,TE,6,7,85.71,4
113,Allen Hurns,JAX,WR,6,7,85.71,2
114,Ted Ginn,NO,WR,5,7,71.43,1
115,Trent Taylor,SF,WR,5,7,71.43,2
116,Cole Beasley,DAL,WR,5,7,71.43,4
117,Jerick McKinnon,MIN,RB,4,7,57.14,1
118,Adam Shaheen,CHI,TE,4,7,57.14,3
119,Corey Coleman,CLE,WR,3,7,42.86,2
120,Rex Burkhead,NE,RB,3,7,42.86,3
121,Brandon Coleman,NO,WR,3,7,42.86,2
122,T.J. Jones,DET,WR,2,7,28.57,1
123,Taylor Gabriel,ATL,WR,2,7,28.57,0
124,Donte Moncrief,IND,WR,2,7,28.57,1
125,Kendrick Bourne,SF,WR,0,7,0.00,0
126,Kyle Juszczyk,SF,FB,6,6,100.00,1
127,Randall Cobb,GB,WR,5,6,83.33,3
128,Josh Hill,NO,TE,5,6,83.33,1
129,Javorius Allen,BAL,RB,5,6,83.33,2
130,Bilal Powell,NYJ,RB,4,6,66.67,0
131,DeSean Jackson,TB,WR,4,6,66.67,2
132,O.J. Howard,TB,TE,4,6,66.67,3
133,John Brown,ARI,WR,4,6,66.67,3
134,Charles Sims,TB,RB,3,6,50.00,1
135,James OShaughnessy,JAX,TE,3,6,50.00,1
136,Chris Thompson,WAS,RB,3,6,50.00,2
137,Cordarrelle Patterson,OAK,WR,3,6,50.00,0
138,Kenny Golladay,DET,WR,2,6,33.33,1
139,Jaydon Mickens,JAX,WR,2,6,33.33,2
140,Seth Roberts,OAK,WR,2,6,33.33,1
141,Chris Moore,BAL,WR,2,6,33.33,2
142,Geronimo Allison,GB,WR,2,6,33.33,0
143,Greg Olsen,CAR,TE,1,6,16.67,0
144,Andre Holmes,BUF,WR,5,5,100.00,3
145,Adam Humphries,TB,WR,5,5,100.00,1
146,Corey Davis,TEN,WR,4,5,80.00,1
147,Tyler Higbee,LA,TE,4,5,80.00,1
148,Giovani Bernard,CIN,RB,4,5,80.00,1
149,Devontae Booker,DEN,RB,4,5,80.00,1
150,Austin Ekeler,LAC,RB,4,5,80.00,1
151,Lamar Miller,HOU,RB,4,5,80.00,3
152,Ed Dickson,CAR,TE,3,5,60.00,1
153,Jordan Reed,WAS,TE,3,5,60.00,2
154,Garrett Celek,SF,TE,3,5,60.00,3
155,Duke Johnson,CLE,RB,3,5,60.00,1
156,Matt Forte,NYJ,RB,3,5,60.00,1
157,Torrey Smith,PHI,WR,3,5,60.00,1
158,Pierre Garcon,SF,WR,3,5,60.00,0
159,D.J. Foster,ARI,RB,2,5,40.00,0
160,Keelan Cole,JAX,WR,2,5,40.00,2
161,Zach Miller,CHI,TE,2,5,40.00,1
162,Dede Westbrook,JAX,WR,2,5,40.00,1
163,Matt Breida,SF,RB,2,5,40.00,1
164,Rod Smith,DAL,RB,2,5,40.00,0
165,Chris Ivory,JAX,RB,2,5,40.00,0
166,Terrelle Pryor,WAS,WR,2,5,40.00,0
167,Jeremy Maclin,BAL,WR,2,5,40.00,1
168,Vance McDonald,PIT,TE,2,5,40.00,1
169,Dontrelle Inman,CHI,WR,2,5,40.00,1
170,Tyreek Hill,KC,WR,1,5,20.00,0
171,Terrance Williams,DAL,WR,1,5,20.00,0
172,Luke Willson,SEA,TE,4,4,100.00,2
173,Jordan Matthews,BUF,WR,4,4,100.00,2
174,DeAndre Washington,OAK,RB,4,4,100.00,1
175,Tevin Coleman,ATL,RB,4,4,100.00,3
176,Coby Fleener,NO,TE,4,4,100.00,2
177,Odell Beckham Jr.,NYG,WR,4,4,100.00,2
178,Will Fuller,HOU,WR,4,4,100.00,4
179,Brice Butler,DAL,WR,3,4,75.00,2
180,Aldrick Robinson,SF,WR,2,4,50.00,1
181,Braxton Miller,HOU,WR,2,4,50.00,1
182,Benny Cunningham,CHI,RB,2,4,50.00,1
183,Rashard Higgins,CLE,WR,2,4,50.00,1
184,Ty Montgomery,GB,RB,2,4,50.00,2
185,Tavarres King,NYG,WR,2,4,50.00,2
186,A.J. Derby,MIA,TE,1,4,25.00,0
187,Mike Williams,LAC,WR,1,4,25.00,0
188,Lance Kendricks,GB,TE,1,4,25.00,1
189,Kamar Aiken,IND,WR,1,4,25.00,0
190,Dwayne Allen,NE,TE,1,4,25.00,1
191,Louis Murphy,SF,WR,1,4,25.00,1
192,Troy Niklas,ARI,TE,1,4,25.00,1
193,Seth DeValve,CLE,TE,1,4,25.00,1
194,Russell Shepard,CAR,WR,0,4,0.00,0
195,Maxx Williams,BAL,TE,3,3,100.00,1
196,Ezekiel Elliott,DAL,RB,3,3,100.00,1
197,Jay Ajayi,PHI,RB,3,3,100.00,1
198,Kenyan Drake,MIA,RB,3,3,100.00,1
199,Anthony Fasano,MIA,TE,3,3,100.00,2
200,J.J. Nelson,ARI,WR,2,3,66.67,2
201,Doug Martin,TB,RB,2,3,66.67,0
202,Michael Hoomanawanui,NO,TE,2,3,66.67,1
203,Damien Williams,MIA,RB,2,3,66.67,1
204,Jamaal Williams,GB,RB,2,3,66.67,0
205,Jamaal Charles,DEN,RB,2,3,66.67,0
206,J.D. McKissic,SEA,RB,2,3,66.67,1
207,Brandon Tate,BUF,WR,2,3,66.67,1
208,Willie Snead,NO,WR,2,3,66.67,0
209,Patrick Ricard,BAL,FB,2,3,66.67,2
210,Ryan Griffin,HOU,TE,2,3,66.67,1
211,Brenton Bersin,CAR,WR,2,3,66.67,0
212,Corey Clement,PHI,RB,2,3,66.67,2
213,Patrick DiMarco,BUF,RB,2,3,66.67,0
214,Frank Gore,IND,RB,2,3,66.67,1
215,Derrick Henry,TEN,RB,2,3,66.67,0
216,Pharoh Cooper,LA,WR,1,3,33.33,0
217,Dalvin Cook,MIN,RB,1,3,33.33,0
218,Damiere Byrd,CAR,WR,1,3,33.33,2
219,Brent Celek,PHI,TE,1,3,33.33,1
220,Isaiah Crowell,CLE,RB,1,3,33.33,0
221,Nick OLeary,BUF,TE,1,3,33.33,1
222,Aaron Jones,GB,RB,1,3,33.33,0
223,Tavon Austin,LA,WR,1,3,33.33,0
224,Ricardo Louis,CLE,WR,1,3,33.33,0
225,Virgil Green,DEN,TE,1,3,33.33,1
226,Jonnu Smith,TEN,TE,0,3,0.00,0
