Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Michael Thomas,NO,WR,20,26,76.92,9
2,Julian Edelman,NE,WR,15,23,65.22,5
3,Travis Kelce,KC,TE,8,22,36.36,3
4,Davante Adams,GB,WR,15,21,71.43,3
5,Tyler Lockett,SEA,WR,14,21,66.67,7
6,Jarvis Landry,CLE,WR,13,21,61.90,5
7,James White,NE,RB,17,20,85.00,4
8,Keenan Allen,LAC,WR,13,20,65.00,3
9,Courtland Sutton,DEN,WR,11,20,55.00,3
10,Zach Ertz,PHI,TE,10,20,50.00,5
11,George Kittle,SF,TE,13,19,68.42,3
12,Mark Andrews,BAL,TE,11,19,57.89,9
13,Allen Robinson,CHI,WR,9,19,47.37,6
14,Cooper Kupp,LA,WR,13,18,72.22,6
15,Kenny Golladay,DET,WR,8,17,47.06,7
16,Mike Evans,TB,WR,8,17,47.06,5
17,Julio Jones,ATL,WR,12,16,75.00,5
18,Mike Williams,LAC,WR,3,16,18.75,1
19,Marvin Jones,DET,WR,11,15,73.33,8
20,Christian McCaffrey,CAR,RB,10,15,66.67,4
21,Austin Hooper,ATL,TE,9,15,60.00,7
22,D.J. Chark,JAX,WR,7,15,46.67,5
23,Larry Fitzgerald,ARI,WR,7,15,46.67,4
24,DeVante Parker,MIA,WR,7,15,46.67,6
25,Auden Tate,CIN,WR,5,15,33.33,2
26,Odell Beckham Jr.,CLE,WR,4,15,26.67,1
27,DK Metcalf,SEA,WR,4,15,26.67,3
28,Tyler Higbee,LA,TE,10,14,71.43,2
29,Alvin Kamara,NO,RB,9,14,64.29,0
30,Terry McLaurin,WAS,WR,8,14,57.14,3
31,Evan Engram,NYG,TE,6,14,42.86,2
32,Jason Witten,DAL,TE,9,13,69.23,5
33,Chris Godwin,TB,WR,9,13,69.23,5
34,Marquise Brown,BAL,WR,9,13,69.23,4
35,Jamison Crowder,NYJ,WR,8,13,61.54,3
36,Jack Doyle,IND,TE,6,13,46.15,3
37,Zach Pascal,IND,WR,5,13,38.46,5
38,Christian Kirk,ARI,WR,10,12,83.33,1
39,Kyle Rudolph,MIN,TE,8,12,66.67,5
40,Curtis Samuel,CAR,WR,7,12,58.33,6
41,D.J. Moore,CAR,WR,7,12,58.33,2
42,Deebo Samuel,SF,WR,6,12,50.00,1
43,Aaron Jones,GB,RB,10,11,90.91,1
44,Austin Ekeler,LAC,RB,9,11,81.82,5
45,Darren Fells,HOU,TE,9,11,81.82,7
46,Leonard Fournette,JAX,RB,8,11,72.73,0
47,Darren Waller,OAK,TE,7,11,63.64,3
48,Danny Amendola,DET,WR,7,11,63.64,0
49,DeAndre Hopkins,HOU,WR,7,11,63.64,4
50,Sterling Shepard,NYG,WR,6,11,54.55,2
51,Preston Williams,MIA,WR,6,11,54.55,3
52,Phillip Dorsett,NE,WR,6,11,54.55,1
53,Greg Olsen,CAR,TE,5,11,45.45,2
54,John Brown,BUF,WR,5,11,45.45,2
55,Ezekiel Elliott,DAL,RB,5,11,45.45,1
56,Eric Ebron,IND,TE,5,11,45.45,2
57,Josh Hill,NO,TE,8,10,80.00,3
58,Miles Sanders,PHI,RB,8,10,80.00,2
59,Hunter Henry,LAC,TE,7,10,70.00,3
60,Damien Williams,KC,RB,7,10,70.00,2
61,Tyler Boyd,CIN,WR,7,10,70.00,4
62,Dallas Goedert,PHI,TE,7,10,70.00,3
63,Robert Woods,LA,WR,7,10,70.00,2
64,Randall Cobb,DAL,WR,6,10,60.00,2
65,Russell Gage,ATL,WR,6,10,60.00,2
66,Alshon Jeffery,PHI,WR,5,10,50.00,4
67,Jimmy Graham,GB,TE,5,10,50.00,4
68,Calvin Ridley,ATL,WR,5,10,50.00,4
69,Jared Cook,NO,TE,5,10,50.00,5
70,Gerald Everett,LA,TE,8,9,88.89,2
71,Vance McDonald,PIT,TE,7,9,77.78,3
72,T.Y. Hilton,IND,WR,7,9,77.78,5
73,Irv Smith,MIN,TE,7,9,77.78,2
74,Duke Johnson,HOU,RB,6,9,66.67,3
75,Jacob Hollister,SEA,TE,6,9,66.67,3
76,Golden Tate,NYG,WR,6,9,66.67,1
77,Amari Cooper,DAL,WR,6,9,66.67,5
78,LeVeon Bell,NYJ,RB,6,9,66.67,1
79,Tarik Cohen,CHI,RB,5,9,55.56,3
80,Anthony Miller,CHI,WR,5,9,55.56,2
81,Tyler Eifert,CIN,TE,4,9,44.44,2
82,T.J. Hockenson,DET,TE,3,9,33.33,1
83,Mike Gesicki,MIA,TE,3,9,33.33,3
84,Alex Erickson,CIN,WR,3,9,33.33,0
85,Cole Beasley,BUF,WR,8,8,100.00,5
