Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Demaryius Thomas,DEN,WR,116,191,60.73,11
2,Antonio Brown,PIT,WR,128,188,68.09,14
3,Jordy Nelson,GB,WR,99,163,60.74,13
4,Alshon Jeffery,CHI,WR,89,157,56.69,11
5,Julio Jones,ATL,WR,98,156,62.82,6
6,Andre Johnson,HOU,WR,87,154,56.49,4
7,Emmanuel Sanders,DEN,WR,103,151,68.21,9
8,Kelvin Benjamin,CAR,WR,76,150,50.67,10
9,Golden Tate,DET,WR,102,148,68.92,4
10,Julian Edelman,NE,WR,95,145,65.52,5
11,Steve Smith,BAL,WR,82,144,56.94,5
12,Dez Bryant,DAL,WR,90,142,63.38,17
13,Jeremy Maclin,PHI,WR,87,141,61.70,9
14,Vincent Jackson,TB,WR,70,140,50.00,3
15,Odell Beckham Jr.,NYG,WR,94,139,67.63,12
16,Rob Gronkowski,NE,TE,85,138,61.59,12
17,Anquan Boldin,SF,WR,86,135,63.70,5
18,Matt Forte,CHI,RB,106,134,79.10,4
19,T.Y. Hilton,IND,WR,83,133,62.41,8
20,Jimmy Graham,NO,TE,89,132,67.42,10
21,Martellus Bennett,CHI,TE,93,131,70.99,6
22,DeAndre Hopkins,HOU,WR,82,131,62.60,6
23,Calvin Johnson,DET,WR,73,130,56.15,8
24,Mike Evans,TB,WR,69,129,53.49,11
25,Sammy Watkins,BUF,WR,67,129,51.94,6
26,Randall Cobb,GB,WR,91,128,71.09,12
27,Rueben Randle,NYG,WR,76,128,59.38,3
28,Greg Olsen,CAR,TE,85,126,67.46,6
29,Mike Wallace,MIA,WR,67,125,53.60,10
30,Roddy White,ATL,WR,81,123,65.85,7
31,A.J. Green,CIN,WR,73,122,59.84,6
32,Brandon LaFell,NE,WR,76,121,62.81,8
33,Michael Crabtree,SF,WR,69,119,57.98,4
34,Keenan Allen,SD,WR,78,118,66.10,4
35,Andrew Hawkins,CLE,WR,66,116,56.90,2
36,Cecil Shorts,JAC,WR,54,116,46.55,1
37,Eric Decker,NYJ,WR,74,114,64.91,6
38,Jarvis Landry,MIA,WR,88,113,77.88,5
39,James Jones,OAK,WR,73,113,64.60,6
40,Larry Fitzgerald,ARI,WR,67,113,59.29,3
41,Reggie Wayne,IND,WR,64,113,56.64,2
42,Robert Woods,BUF,WR,70,110,63.64,5
43,Jordan Matthews,PHI,WR,68,108,62.96,8
44,Brandon Marshall,CHI,WR,64,108,59.26,8
45,Andre Holmes,OAK,WR,51,107,47.66,4
46,LeVeon Bell,PIT,RB,83,106,78.30,3
47,Mohamed Sanu,CIN,WR,59,106,55.66,5
48,Pierre Garcon,WAS,WR,70,104,67.31,3
49,Antonio Gates,SD,TE,71,103,68.93,12
50,Delanie Walker,TEN,TE,63,103,61.17,4
51,Michael Floyd,ARI,WR,48,103,46.60,6
52,DeSean Jackson,WAS,WR,58,102,56.86,6
53,Jared Cook,STL,TE,58,102,56.86,3
54,Torrey Smith,BAL,WR,51,101,50.50,11
55,Doug Baldwin,SEA,WR,66,100,66.00,3
56,Mychal Rivera,OAK,TE,59,100,59.00,4
57,Dwayne Bowe,KC,WR,61,99,61.62,1
58,Marques Colston,NO,WR,59,99,59.60,5
59,Heath Miller,PIT,TE,72,98,73.47,3
