Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,DeAndre Hopkins,HOU,WR,99,193,51.30,14
2,Antonio Brown,PIT,WR,103,170,60.59,11
3,Keenan Allen,LAC,WR,104,169,61.54,6
4,Larry Fitzgerald,ARI,WR,110,168,65.48,7
5,Jarvis Landry,MIA,WR,117,164,71.34,11
6,Adam Thielen,MIN,WR,95,156,60.90,5
7,Michael Thomas,NO,WR,107,151,70.86,7
8,Julio Jones,ATL,WR,90,151,59.60,3
9,A.J. Green,CIN,WR,77,148,52.03,9
10,Demaryius Thomas,DEN,WR,86,144,59.72,5
11,Mike Evans,TB,WR,75,140,53.57,7
12,Dez Bryant,DAL,WR,71,140,50.71,6
13,Alshon Jeffery,PHI,WR,59,126,46.83,9
14,Doug Baldwin,SEA,WR,77,125,61.60,9
15,Davante Adams,GB,WR,75,122,61.48,11
16,Brandin Cooks,NE,WR,67,122,54.92,7
17,Travis Kelce,KC,TE,85,121,70.25,10
18,Golden Tate,DET,WR,94,120,78.33,6
19,Marvin Jones,DET,WR,63,118,53.39,9
20,Evan Engram,NYG,TE,68,117,58.12,6
21,Delanie Walker,TEN,TE,77,116,66.38,4
22,Rob Gronkowski,NE,TE,73,116,62.93,9
23,Devin Funchess,CAR,WR,65,116,56.03,8
24,Robby Anderson,NYJ,WR,65,113,57.52,7
25,Christian McCaffrey,CAR,RB,81,112,72.32,5
26,Zach Ertz,PHI,TE,74,109,67.89,8
27,Jermaine Kearse,NYJ,WR,70,109,64.22,5
28,Tyreek Hill,KC,WR,77,108,71.30,7
29,Michael Crabtree,OAK,WR,61,108,56.48,9
30,Kenny Stills,MIA,WR,59,108,54.63,7
31,LeVeon Bell,PIT,RB,85,107,79.44,2
32,Jack Doyle,IND,TE,80,107,74.77,3
33,T.Y. Hilton,IND,WR,54,107,50.47,4
34,Alvin Kamara,NO,RB,85,105,80.95,5
35,Stefon Diggs,MIN,WR,68,105,64.76,8
36,Marquise Goodwin,SF,WR,55,105,52.38,2
37,Marqise Lee,JAX,WR,58,100,58.00,4
38,Amari Cooper,OAK,WR,53,100,53.00,8
39,Mohamed Sanu,ATL,WR,68,99,68.69,6
40,Jamison Crowder,WAS,WR,66,99,66.67,4
41,Cooper Kupp,LA,WR,62,98,63.27,5
