Rank,Name,Team,Pos.,Completions,Targets,Comp %,TDs
1,Julio Jones,ATL,WR,115,178,64.61,8
2,Davante Adams,GB,WR,114,178,64.04,13
3,DeAndre Hopkins,HOU,WR,124,175,70.86,12
4,JuJu Smith-Schuster,PIT,WR,112,171,65.50,7
5,Antonio Brown,PIT,WR,107,165,64.85,15
6,Michael Thomas,NO,WR,130,163,79.75,9
7,Adam Thielen,MIN,WR,116,162,71.60,9
8,Travis Kelce,KC,TE,109,159,68.55,11
9,Zach Ertz,PHI,TE,116,157,73.89,8
10,Jarvis Landry,CLE,WR,83,155,53.55,4
11,Stefon Diggs,MIN,WR,103,149,69.13,9
12,George Kittle,SF,TE,93,147,63.27,6
13,Mike Evans,TB,WR,88,137,64.23,8
14,Robert Woods,LA,WR,87,135,64.44,6
15,Tyreek Hill,KC,WR,88,134,65.67,12
16,Keenan Allen,LAC,WR,93,133,69.92,6
17,T.Y. Hilton,IND,WR,80,129,62.02,6
18,Odell Beckham Jr.,NYG,WR,80,129,62.02,6
19,Kenny Golladay,DET,WR,73,129,56.59,7
20,Christian McCaffrey,CAR,RB,110,127,86.61,6
21,Saquon Barkley,NYG,RB,93,125,74.40,4
22,James White,NE,RB,88,123,71.54,7
23,Brandin Cooks,LA,WR,81,123,65.85,6
24,Adam Humphries,TB,WR,81,114,71.05,6
25,Tyler Boyd,CIN,WR,80,114,70.18,7
26,Larry Fitzgerald,ARI,WR,70,113,61.95,6
27,Julian Edelman,NE,WR,76,112,67.86,6
28,Eric Ebron,IND,TE,68,112,60.71,13
29,Alvin Kamara,NO,RB,83,111,74.77,6
30,Corey Davis,TEN,WR,62,111,55.86,4
31,Sterling Shepard,NYG,WR,66,108,61.11,4
32,Allen Robinson,CHI,WR,55,106,51.89,5
33,Emmanuel Sanders,DEN,WR,75,105,71.43,5
34,Dede Westbrook,JAX,WR,71,103,68.93,6
35,Taylor Gabriel,CHI,WR,70,102,68.63,3
36,Nelson Agholor,PHI,WR,68,102,66.67,4
37,Jared Cook,OAK,TE,70,101,69.31,7
38,Willie Snead,BAL,WR,67,101,66.34,1
39,Mohamed Sanu,ATL,WR,69,100,69.00,5
40,Zay Jones,BUF,WR,58,100,58.00,8
41,Alshon Jeffery,PHI,WR,67,99,67.68,6
42,Michael Crabtree,BAL,WR,54,99,54.55,3
43,Ezekiel Elliott,DAL,RB,78,98,79.59,3
44,Chris Godwin,TB,WR,61,97,62.89,8
45,Cole Beasley,DAL,WR,67,96,69.79,3
46,Jimmy Graham,GB,TE,57,95,60.00,4
47,John Brown,BAL,WR,41,95,43.16,5
48,Jordy Nelson,OAK,WR,66,93,70.97,3
49,Tarik Cohen,CHI,RB,72,92,78.26,6
50,Calvin Ridley,ATL,WR,65,92,70.65,11
